datetime,temp,humidity,windspeed,conditions,description
2023-04-08,14.7,79.4,18.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-04-09,12,76.7,18.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-04-10,12.4,82.7,16.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-04-11,14.6,82,9.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-04-12,15.2,78.5,23.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-04-13,16.3,82,13.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-04-14,16.8,77.4,11.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2023-04-15,17.2,72.4,27.7,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-04-16,13.6,83.3,19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-04-17,14.9,69.2,13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2023-04-18,17.4,67.2,18.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-04-19,14.6,68.4,15.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-04-20,13.4,73.3,9,Partially cloudy,Partly cloudy throughout the day.
2023-04-21,15.4,80.2,7.1,Partially cloudy,Partly cloudy throughout the day.
2023-04-22,16.4,79.9,11.7,Partially cloudy,Partly cloudy throughout the day.
2023-04-23,16,82.9,18,Partially cloudy,Partly cloudy throughout the day.
